一	个,些,种,般,定,样,次,直,切,声,起,点,下,条,位
双耳时	差
双职	工
双股	螺旋
双股螺	旋
双肩	包,挑
双胞	胎
双胶	纸
双腿	微,奇
双臂	卡环
双臂卡	环
双至	强
双色	球
双节	棍
双菱	藻
双蒸	水
双虹	楼
双螺	旋,杆
双行	线
双衰	变
双见	杨
双语	学校,版,报
双语学	校
双调	和
双足	刚,力,重茧,钉,挺,齐
双足重	茧
双蹦	灯
双身	子
双轨	制,铁路
双轨铁	路
双轴	晶体
双轴晶	体
双边	会谈,关系,协定,协议,合作,条约,贸易
双边会	谈
双边关	系
双边协	定,议
双边合	作
双边条	约
双边贸	易
双辽	县,市
双连	通度
双连通	度
双选	会,周
双通	道
双重	性,人格,函数,分离,国籍,性格,标准,牙列,身份,身分,领导
双重人	格
双重函	数
双重分	离
双重国	籍
双重性	格
双重标	准
双重牙	列
双重身	份,分
双重领	导
双金	属,属片,钏
双金属	片
双钢	轮
双铁	戟,牌,罗汉
双铁罗	汉
双铧	犁
双锥	天线
双锥天	线
双镖	飞
双阳	区,县,台,极
双陪	集
双雄	会
双面	绣,书架,娇娃,板,研磨,绒,谍,胶
双面书	架
双面娇	娃
双面研	磨
双音	词,频
双颌	前突
双颌前	突
双风	贯
双飞	燕,双,翼
双高	清,型
双鱼	座,牌
双鸣	凤
双鸭	山,山市
双鸭山	市
双鹰	均
双黄	线,连
双龙	泉,传,护,洞,岗,抢,纹
反	对,应,映,而,复,抗,动,正,击,革命,射,帝,倒,之,动派
反世	贸
反中	子
反主	为客
反主为	客
反义	词,基因,字
反义基	因
反之	亦然,亦是
反之亦	然,是
反交	换
反代	型
反传	网络
反传网	络
反作	用力,用,弊
反作用	力
反侵	略,略战
反侵略	战
反倾	销,销税,销法
反倾销	税,法
反光	镜,性,板,灯,膜
反党	集团
反党集	团
反共	宣传,抗俄
反共宣	传
反共抗	俄
反其	道
反军	购
反冲	力
反击	战,式
反函	数
反分	裂,裂法
反分裂	法
反刍	动物
反刍动	物
反动	派,份子,分子,势力,透顶,集团
反动份	子
反动分	子
反动势	力
反动透	顶
反动集	团
反劫	机
反劳	为逸
反劳为	逸
反千	组
反反	复复
反反复	复
反叛	者,党,军
反叠	构象
反叠构	象
反台	独
反右	派斗
反右派	斗
反向	地,恢复,混合,移情,而行,转运,运动
反向恢	复
反向混	合
反向移	情
反向而	行
反向转	运
反向运	动
反听	内视,收视
反听内	视
反听收	视
反咬	一口
反咬一	口
反响	强烈
反响强	烈
反哺	为恩,之恩,之情,之私
反哺为	恩
反哺之	恩,情,私
反唇	相讥,相稽
反唇相	讥,稽
反回	头
反坦	克炮,克雷,克
反坦克	炮,雷
反垃	圾
反垄	断法,断
反垄断	法
反基	因组
反基因	组
反复	无常,推敲,性,强调,研究,证明,计算
反复强	调
反复推	敲
反复无	常
反复研	究
反复计	算
反复证	明
反季	节
反守	为攻
反守为	攻
反安	装
反定	理
反客	为主
反客为	主
反宾	为主
反宾为	主
反对	派,党,票,者,声,称性,方
反对称	性
反导	向飞,弹
反导向	飞
反封	建
反射	镜,弧,率,定律,炉,层,面,式,系数,体,线,亢进,光,光栅,动作
反射亢	进
反射光	栅
反射动	作
反射定	律
反射强	度
反射系	数
反差	调整
反差调	整
反常	规,吸收,对策,情况,散射,混晶,现象
反常吸	收
反常对	策
反常情	况
反常散	射
反常混	晶
反常现	象
反干	扰
反应	堆,物,器,式,时间,力,速度,变量,堆心,塔,截面,方程,溅射,热,类型
反应变	量
反应堆	心
反应截	面
反应方	程
反应时	间
反应溅	射
反应类	型
反应蒸	发
反应进	度
反应迟	钝
反应速	度
反式	切割,剪接,加成,构象,消除,灭活,阻抑
反式切	割
反式剪	接
反式加	成
反式构	象
反式消	除
反式灭	活
反式阻	抑
反弹	力,球
反循	环
反思	性
反恐	怖,精英
反恐精	英
反情	报
反戈	一击,相向
反戈一	击
反戈相	向
反战	份子
反战份	子
反手	可得
反手可	得
反托	拉斯
反托拉	斯
反投	影
反抗	性,军,者
反折	射
反担	保
反控	制
反推	力
反撞	力
反收	购
反攻	倒算,为守,复国,大陆
反攻为	守
反攻倒	算
反攻复	国
反攻大	陆
反文	儿,旁
反映	论
反木	马
反朴	归真
反朴归	真
反杜	林论
反杜林	论
反正	拨乱
反正拨	乱
反毒	害
反比	例
反民	主
反气	旋
反水	不收
反水不	收
反求	诸己
反求诸	己
反汇	编
反治	其身
反治其	身
反法	西斯
反法西	斯
反洗	钱,钱法
反洗钱	法
反派	人物
反派人	物
反浪	费
反清	复明
反清复	明
反渗	透,透膜
反渗透	膜
反演	中心
反演中	心
反潜	机,舰,艇
反潮	流
反火	力
反烟	运动
反烟运	动
反照	率,镜
反物	质
反犬	旁,旁儿
反犬旁	儿
反犯	罪
反犹	主义,太
反犹主	义
反璞	归真
反璞归	真
反电	动势
反电动	势
反町	隆史
反町隆	史
反病	毒
反白	字
反盗	版
反目	成仇,无情,为仇
反目为	仇
反目成	仇
反目无	情
反相	器
反省	起来
反省起	来
反眼	不识
反眼不	识
反离	子
反科	学
反空	降
反窃	听
反粒	子
反经	合义,合道,行权
反经合	义,道
反经行	权
反编	码链,译,译器
反编码	链
反编译	器
反老	还童
反老还	童
反脸	无情
反脸无	情
反腐	倡廉,败
反腐倡	廉
反自	同构
反自同	构
反舰	导弹
反舰导	弹
反补	贴
反衬	度
反装	甲
反裘	伤皮,负薪
反裘伤	皮
反裘负	薪
反褶	积
反覆	无常,思量
反覆思	量
反覆无	常
反证	法
反败	为胜
反败为	胜
反质	子
反贪	局,动态,工作,污,科
反贪动	态
反贪工	作
反走	私
反身	代词,自问
反身代	词
反身自	问
反躬	自省,自问,自责
反躬自	省,问,责
反转	片,剧,来,温度
反转温	度
反辱	相稽
反辱相	稽
反过	来,来说
反过来	说
反遭	毒手
反遭毒	手
反避	税
反邪	归正,教
反邪归	正
反钓	鱼
反错	构象
反错构	象
反锯	齿
反问	句
反间	计,之计,谍
反间之	计
反面	人物,教材,教员,典型,反应,文章,无情,材料,角色,设计
反面人	物
反面典	型
反面反	应
反面教	材,员
反面文	章
反面无	情
反面材	料
反面角	色
反面设	计
反革	命
反颜	相向
反颜相	向
反颠	覆
反风	灭火
反风灭	火
反馈	作用,性,系统,表
反馈作	用
反馈系	统
反驳	者
反骄	破满
反骄破	满
反魂	乏术
反魂乏	术
发	展,现,生,言人,表,布,挥,出,达,动,射,布会,育,行,明
发一	分光,组
发一分	光
发上	冲冠,去,指冠,来
发上冲	冠
发上指	冠
发下	去
发不	出,到,起
发两	张
发个	贴
发乎	情
发人	深省,深思
发人深	省,思
发令	枪,员
发件	箱,人
发传	单,真
发低	工资,烧
发低工	资
发信	人,号,机,站
发像	管
发光	体,管,字,强度,棒,片,物,粉,闪烁,度
发光强	度
发光闪	烁
发几	张
发凡	起例
发凡起	例
发出	通知,声响,声音,回声,臭味,信号,报警,请求
发出信	号
发出回	声
发出声	响,音
发出报	警
发出臭	味
发出请	求
发出通	知
发刊	词
发制	品
发力	点
发务	成业
发务成	业
发动	机,者,机厂,战争,机盖,机短,机舱,群众,蛋白,革命
发动战	争
发动机	厂,盖,短,舱
发动群	众
发动蛋	白
发动革	命
发包	人,方
发卡	量,人,行
发号	施令
发号施	令
发呆	地
发售	点,日,日期,量
发售日	期
发善	心
发回	去,重审
发回重	审
发国	难财
发国难	财
发图	片
发场	光大
发场光	大
发型	师,屋,秀,设计
发型设	计
发声	器,器官,明,法
发声器	官
发大	财,水
发夹	环,结构
发夹结	构
发奋	图强
发奋图	强
发奖	仪式
发奖仪	式
发奸	擿伏
发奸擿	伏
发威	动怒
发威动	怒
发审	委
发宪	布令
发宪布	令
发家	致富,史
发家致	富
发射	器,架,管,场,机,光谱,台,率,点,塔,极,能力,装置,站,系统
发射乐	团
发射光	谱
发射功	率
发射卫	星
发射成	功
发射系	统
发射能	力
发射装	置
发屋	求狸
发屋求	狸
发展	观,史,前途,局,商,期,趋势,部,性,权,前景,潜力,署,费,党员
发展党	员
发展前	途,景
发展势	头
发展壮	大
发展潜	力
发展缓	慢
发展趋	势,向
发展辉	煌
发工	资
发布	会,权,厅,者,公告,命令,新闻,量,页,页面,费
发布公	告
发布命	令
发布新	闻
发布页	面
发帖	人,子,数,榜,量
发廊	女,妹
发引	千钧
发引千	钧
发彩	信
发怒	冲冠,穿冠
发怒冲	冠
发怒穿	冠
发怨	言
发情	期,周期,探测
发情周	期
发情探	测
发愤	图强,忘食
发愤图	强
发愤忘	食
发慈	悲
发手	机
发扬	光大,成绩,民主,蹈厉,踔厉
发扬光	大
发扬成	绩
发扬民	主
发扬踔	厉
发扬蹈	厉
发抒	心志
发抒心	志
发护	发
发报	机,人,员,器
发指	眦裂
发指眦	裂
发挥	优势,余热,作用,出来,性,所长,特长
发挥优	势
发挥余	热
发挥作	用
发挥出	来
发挥所	长
发挥特	长
发掘	出,出来
发掘出	来
发改	委
发放	贷款,量
发放贷	款
发政	施仁
发政施	仁
发散	透镜
发散透	镜
发文	件,者
发新	帖
发明	家,者,人,权,奖,创造,专利
发明专	利
发明创	造
发条	橙
发来	发去
发来发	去
发标	人
发案	单位,地,率
发案单	位
发棠	之请
发棠之	请
发植	穿冠
发植穿	冠
发横	财
发汗	剂,药
发泡	剂,机,胶
发洋	财
发浊	音
发消	息
发源	地
发火	器,点
发炎	性
发烟	硫酸,硝酸
发烟硝	酸
发烟硫	酸
发烧	友,时,极,站,级,音响
发烧音	响
发热	量,器,时,板,管
发牢	骚
发狂	地
发现	者,自己,错误,异常,矛盾
发现异	常
发现矛	盾
发现自	己
发现错	误
发球	员,权,区,线,局
发生	地,率,器,变化,学,量,额,争执,冲突,响声,巨变,意外,源,炉煤,爆炸
发生争	执
发生冲	突
发生变	化
发生响	声
发生巨	变
发生意	外
发生炉	煤
发生爆	炸
发电	机,厂,量,站,机组,场,所,报,能力,电压,设备
发电机	组
发电电	压
发电能	力
发电设	备
发留	言
发疹	子
发病	率,指数
发病指	数
发白	时
发短	信,心长
发短心	长
发硎	新试
发硎新	试
发硬	时
发神	经,经病
发神经	病
发祥	地,之地
发祥之	地
发票	记录
发票记	录
发科	打诨
发科打	诨
发端	词
发策	决科
发策决	科
发红	包
发纵	指使,指示
发纵指	使,示
发给	你,您
发综	指示
发综指	示
发罗	拉
发聋	振聩
发聋振	聩
发育	期,不全,不良,成,条件,沟,畸形,节律,调节,阶段
发育不	全,良
发育条	件
发育畸	形
发育节	律
发育调	节
发育阶	段
发胀	感
发脾	气
发自	体内,内心,肺腑
发自体	内
发自内	心
发自肺	腑
发芽	率,势,生殖,试验
发芽生	殖
发芽试	验
发蒙	振落,解惑,解缚
发蒙振	落
发蒙解	惑,缚
发薪	日,水
发蜡	条
发行	量,人,部,商,权,额,者,所,中心,价,员,业,体,版,股票
发行中	心
发行股	票
发表	权,声明,意见,文章,演说,议论,谈话
发表声	明
发表意	见
发表文	章
发表演	说
发表议	论
发表谈	话
发觉	出,到
发言	人,权,者,稿,条,盈庭
发言盈	庭
发议	论
发话	器
发语	词
发财	致富,梦,树,路
发财致	富
发货	量,票,人,单,地
发贴	人,子,数
发起	人,组,者,国,烧来,方
发起烧	来
发踊	冲冠
发踊冲	冠
发踪	指使,指示
发踪指	使,示
发车	场
发达	国家,县
发达国	家
发过	来
发运	人
发进	去,来
发迹	史
发送	量,者,信息,到,器,数据,机,窗口,站,给,至,打印
发送信	息
发送打	印
发送数	据
发送窗	口
发邮	件
发酒	疯
发酵	法,液,罐,出来,剂,图谱,粉,酒,饲料
发酵出	来
发酵图	谱
发酵饲	料
发问	者
发隐	擿伏
发隐擿	伏
发面	饼
发音	器,器官,学,版
发音器	官
发香	味
发高	烧,热
叔	叔,惠,父,伯,侄,祖,公,母,平,丁醇,伯弟兄,婆,婶,嫂,子
叔丁	醇
叔伯	弟兄
叔伯弟	兄
叔孙	通
叔度	陂湖
叔度陂	湖
叔本	华
叔祖	母
取	得,消,出,代,决,胜,名,经,材,缔,决于,向,暖,笑,食
取义	成仁
取义成	仁
取之	不尽,于民,不竭,于,有道
取之不	尽,竭
取之于	民
取之有	道
取乱	侮亡,存亡
取乱侮	亡
取乱存	亡
取予	有节
取予有	节
取代	拼音,法
取代拼	音
取保	候审
取保候	审
取信	于民,于人,于
取信于	民,人
取其	精华
取其精	华
取决	于
取名	为,字
取向	极化
取向极	化
取回	去,来
取大	优先
取大优	先
取如	拾遗
取如拾	遗
取巧	图便
取巧图	便
取得	实效,成功,成效,联系,胜利
取得实	效
取得成	功,效
取得联	系
取得胜	利
取心	钻压
取心钻	压
取快	一时
取快一	时
取悦	于,于人,于民
取悦于	人,民
取指	令
取数	时间
取数时	间
取景	器,框
取暖	器,油,法,炉,费
取材	于,自
取样	器,率
取款	机,单
取水	口,量
取法	乎上,于
取法乎	上
取消	资格
取消资	格
取精	用宏
取精用	宏
取缔	法
取而	代之
取而代	之
取舍	不定,之间,难定
取舍不	定
取舍之	间
取舍难	定
取证	难
取诸	宫中
取诸宫	中
取辖	投井
取辖投	井
取适	量
取长	补短,弃短
取长弃	短
取长补	短
取青	妃白,媲白,配白
取青妃	白
取青媲	白
取青配	白
取静	集
受	到,伤,命,理,过,不了,益,热,贿,损,体,访者,害者,刑,众
受不	了,乐,得
受之	有愧,无愧
受之无	愧
受之有	愧
受了	伤
受人	之托,牵制
受人之	托
受人牵	制
受众	面
受传	者
受伤	者,害
受保	人
受刑	人,者
受到	冲击,好评,感染,牵连,破坏,谴责,重视,限制
受到冲	击
受到好	评
受到感	染
受到牵	连
受到破	坏
受到谴	责
受到重	视
受到限	制
受制	于,于人
受制于	人
受刺	激
受力	钢筋
受力钢	筋
受助	者,生
受压	迫
受后	付款
受后付	款
受困	者
受够	了
受委	屈,托人
受委托	人
受孕	率
受宠	若惊
受宠若	惊
受害	者,人,国
受尽	压迫,折磨
受尽压	迫
受尽折	磨
受得	了,住
受惊	吓
受惠	者,无穷
受惠无	穷
受托	人,承销
受托承	销
受折	磨
受损	害,率
受控	对象,系统
受控对	象
受控系	统
受援	国
受教	育者
受教育	者
受文	者
受术	者
受案	率
受检	者
受欢	迎
受气	包
受水	区
受治	者
受测	者
受激	发射
受激发	射
受灾	国,人口,县,地区,面,面积,户
受灾人	口
受灾地	区
受灾面	积
受热	捧
受理	费
受用	不尽,无穷,终身
受用不	尽
受用无	穷
受用终	身
受电	架
受益	者,匪浅,人,权,不浅,费,非浅
受益不	浅
受益匪	浅
受益非	浅
受礼	人,者
受精	卵,率
受约	人,束
受聘	者
受胎	率
受苦	受累,受难
受苦受	累,难
受虐	狂
受血	者
受表	彰
受让	方,人
受训	者,人,练人
受训练	人
受访	者,人
受试	者
受话	器,人,机
受调	查者
受调查	者
受贿	罪,案,者,人
受资	国
受赐	良多
受赐良	多
受赠	人,者
受过	伤
受迫	对流,振动
受迫对	流
受迫振	动
受邀	者
受阻	于
受降	仪式,典礼
受降仪	式
受降典	礼
受限	于,制
受难	者,日,记
受领	支票
受领支	票
受骗	人,上当,者
受骗上	当
变	化,成,得,革,动,为,更,量,迁,形,换,态,质,法,异
变上	去,来
变下	去
变了	又变,样
变了又	变
变价	款
变体	字
变俗	易教
变俗易	教
变农	为商
变农为	商
变凤	凰
变分	法
变则	通
变动	表,不居,性,率
变动不	居
变化	多端,率,无穷,莫测,无常,很大,趋势,万端,不测,不穷,器,如神,检测,球,系
变化万	端
变化不	测,穷
变化多	端
变化如	神
变化很	大
变化无	穷,常
变化检	测
变化莫	测
变化规	律
变化趋	势
变卖	家产
变卖家	产
变危	为安
变危为	安
变压	器,器厂
变压器	厂
变变	看
变古	乱常,易俗,易常
变古乱	常
变古易	俗,常
变名	易姓
变名易	姓
变向	器
变味	儿
变回	去,来
变声	期
变复	如是
变复如	是
变天	账
变奏	曲,曲式
变奏曲	式
变幻	莫测,无穷,无常,不测
变幻不	测
变幻无	穷,常
变幻莫	测
变应	性,原
变废	为宝
变废为	宝
变异	性,型,中心,系数
变异中	心
变异系	数
变形	虫,体,杆菌,缝,记,运动,金刚
变形杆	菌
变形运	动
变形金	刚
变得	丰美,坚韧,复杂,宽容,残忍
变得丰	美
变得坚	韧
变得复	杂
变得宽	容
变得残	忍
变心	易虑
变心易	虑
变态	反应,狂,传奇,心理,性,版,男,百出
变态传	奇
变态反	应
变态心	理
变态百	出
变性	人,凝胶,剂,手术,蛋白,酒精
变性凝	胶
变性手	术
变性蛋	白
变性酒	精
变感	器
变戏	法,法者
变戏法	者
变成	流了,菜色
变成流	了
变成菜	色
变换	器,位置,分析,编码,语义,处理
变换位	置
变换分	析
变换处	理
变换编	码
变换语	义
变故	易常
变故易	常
变旋	酶
变更	转储
变更转	储
变服	诡行
变服诡	行
变本	加厉
变本加	厉
变来	变去
变来变	去
变法	维新,儿,运动
变法维	新
变法运	动
变流	器
变清	蛋白
变清蛋	白
变温	动物,层
变温动	物
变炫	无穷
变炫无	穷
变焦	镜头
变焦镜	头
变生	不测,肘腋
变生不	测
变生肘	腋
变电	所,站,器
变白	蛋白
变白蛋	白
变相	加价,处理,涨价,肘腋
变相加	价
变相处	理
变相涨	价
变相肘	腋
变着	法,法儿
变着法	儿
变矩	器
变胺	蓝
变脸	变色,王
变脸变	色
变色	龙,镜,之言,易容,机能,杯,牙,笔,蜴
变色之	言
变色易	容
变色机	能
变节	分子,者,自首
变节分	子
变节自	首
变视	紫质
变视紫	质
变质	岩,处理,石,量系
变质处	理
变质量	系
变贪	厉薄
变贪厉	薄
变距	阵
变躬	迁席
变躬迁	席
变迁	兴衰
变迁兴	衰
变过	来
变送	器
变通	之计,办法,处理,方法,法,途
变通之	计
变通办	法
变通处	理
变通方	法
变速	箱,器,机,杆,精灵,装置,齿轮,运动
变速精	灵
变速装	置
变速运	动
变速齿	轮
变造	出
变配	电
变量	值,名
变阻	器
变青	蛙
变革	性,时代
变革时	代
变音	器,期
变频	器,空调,管
变频空	调
变颜	变色
变颜变	色
变风	改俗,易俗,量
变风改	俗
变风易	俗
变魔	术
变黄	金
叙	述,利亚,事,事诗,说,旧,谈,事曲,事性,利亚人,家常,事文,别,永,述性
叙事	诗,曲,性,文,体,歌曲,学
叙事歌	曲
